--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Fri Jun 20 01:08:03 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375} 
{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'StartMenuExperienceHost.exe', 'pid': 6372, 'vms': 26.59765625} 

{'username': None, 'name': 'svchost.exe', 'pid': 6440, 'vms': 2.1484375} 

{'username': None, 'name': 'svchost.exe', 'pid': 6480, 'vms': 2.9296875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 6516, 'vms': 42.04296875} 

{'username': None, 'name': 'ZVMonNt.exe', 'pid': 6608, 'vms': 55.8359375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 6628, 'vms': 83.79296875} 

{'username': None, 'name': 'EMON.EXE', 'pid': 6704, 'vms': 9.01953125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'svchost.exe', 'pid': 6712, 'vms': 8.2578125} 

{'username': None, 'name': 'NisSrv.exe', 'pid': 6732, 'vms': 3.8828125} 

{'username': None, 'name': 'svchost.exe', 'pid': 6736, 'vms': 4.07421875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'sihost.exe', 'pid': 6844, 'vms': 5.63671875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'UserOOBEBroker.exe', 'pid': 6896, 'vms': 1.96484375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'svchost.exe', 'pid': 7080, 'vms': 8.31640625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 7316, 'vms': 348.109375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'explorer.exe', 'pid': 7336, 'vms': 90.53125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 7428, 'vms': 887.37109375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Video.UI.exe', 'pid': 7440, 'vms': 18.43359375} 

{'username': None, 'name': 'conhost.exe', 'pid': 7480, 'vms': 6.48046875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 7616, 'vms': 91.3515625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'unsecapp.exe', 'pid': 7636, 'vms': 1.94140625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'svchost.exe', 'pid': 7692, 'vms': 7.49609375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 7704, 'vms': 11.8828125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'pet.exe', 'pid': 7792, 'vms': 1.4140625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'RuntimeBroker.exe', 'pid': 7880, 'vms': 5.7109375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'NPAV4.EXE', 'pid': 7952, 'vms': 10.65234375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'msedge.exe', 'pid': 8184, 'vms': 7.9609375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'msedge.exe', 'pid': 8188, 'vms': 2.01953125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 8240, 'vms': 32.9453125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 8308, 'vms': 17.05078125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'RuntimeBroker.exe', 'pid': 8344, 'vms': 7.69140625} 

{'username': None, 'name': 'svchost.exe', 'pid': 8576, 'vms': 2.7109375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 8692, 'vms': 370.51171875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'powershell.exe', 'pid': 8708, 'vms': 58.4609375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'conhost.exe', 'pid': 8968, 'vms': 1.22265625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'SecurityHealthSystray.exe', 'pid': 9000, 'vms': 1.703125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 9300, 'vms': 86.5234375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 9368, 'vms': 425.69921875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'TextInputHost.exe', 'pid': 9524, 'vms': 14.40234375} 

{'username': None, 'name': 'svchost.exe', 'pid': 9636, 'vms': 2.9296875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'msedge.exe', 'pid': 9644, 'vms': 10.71484375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'msedge.exe', 'pid': 9680, 'vms': 41.609375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'msedge.exe', 'pid': 9744, 'vms': 15.35546875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'RuntimeBroker.exe', 'pid': 9756, 'vms': 4.16015625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'svchost.exe', 'pid': 9768, 'vms': 1.69140625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 9812, 'vms': 20.6875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'ShellExperienceHost.exe', 'pid': 9848, 'vms': 24.01953125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 9888, 'vms': 86.56640625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'RuntimeBroker.exe', 'pid': 9988, 'vms': 4.98828125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'conhost.exe', 'pid': 10032, 'vms': 1.22265625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'SystemSettingsBroker.exe', 'pid': 10068, 'vms': 3.4765625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'AdobeCollabSync.exe', 'pid': 10352, 'vms': 7.07421875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 10380, 'vms': 9.3828125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'CodeSetup-stable-18e3a1ec544e6907be1e944a94c496e302073435.exe', 'pid': 10464, 'vms': 7.03125} 

{'username': None, 'name': 'svchost.exe', 'pid': 10504, 'vms': 1.6171875} 

{'username': None, 'name': 'svchost.exe', 'pid': 10656, 'vms': 2.81640625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 10672, 'vms': 20.38671875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 10904, 'vms': 10.34375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 11000, 'vms': 69.93359375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 11048, 'vms': 894.23828125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 11108, 'vms': 195.19921875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'cmd.exe', 'pid': 11112, 'vms': 2.53515625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 11196, 'vms': 24.5625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'SearchProtocolHost.exe', 'pid': 13032, 'vms': 1.83984375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'python.exe', 'pid': 13192, 'vms': 10.46484375} 

--------------------------------------------------------------------------------
